"postcode","pc_name","pc_type","pa_name","pa_fips","city_town","county","area_sqmi","shape_area","shape_len","zip3"
"01521","HOLLAND","NON UNIQUE","HOLLAND","30630","HOLLAND, TOWN OF","Hampden","13.033138","33753465.2295","23920.0889738","015"
"01608","WORCESTER","NON UNIQUE","WORCESTER","82000","WORCESTER","Worcester","0.454293","1176530.53919","9323.36899524","016"
"01603","WORCESTER","NON UNIQUE","WORCESTER","82000","WORCESTER","Worcester","4.31494","11174851.6518","28195.1619789","016"
"02138","CAMBRIDGE","NON UNIQUE","CAMBRIDGE","11000","CAMBRIDGE","Middlesex","3.091829","8007306.05218","17422.4840474","021"
"02062","NORWOOD","NON UNIQUE","NORWOOD","50285","NORWOOD, TOWN OF","Norfolk","10.657598","27601085.6532","23786.1601626","020"
"02163","BOSTON","NON UNIQUE","BOSTON","07000","BOSTON","Suffolk","0.163114","422436.146663","4911.45045471","021"
"02025","COHASSET","NON UNIQUE","COHASSET","14605","COHASSET, TOWN OF","Norfolk","10.12757","26228424.093","36916.5515959","020"
"02081","WALPOLE","NON UNIQUE","WALPOLE","72460","WALPOLE, TOWN OF","Norfolk","18.117172","46919961.8266","41670.0111106","020"
"01022","CHICOPEE","NON UNIQUE","CHICOPEE","13660","CHICOPEE","Hampden","5.56915","14423002.6555","21221.0561009","010"
"02301","BROCKTON","NON UNIQUE","BROCKTON","09000","BROCKTON","Plymouth","12.616705","32674936.1359","26649.8391318","023"
"01344","ERVING","NON UNIQUE","ERVING","21745","ERVING, TOWN OF","Franklin","14.675349","38008176.283","35109.012644","013"
"01827","DUNSTABLE","NON UNIQUE","DUNSTABLE","17790","DUNSTABLE, TOWN OF","Middlesex","16.747573","43375908.4115","30349.0230955","018"
"01039","HAYDENVILLE","NON UNIQUE","HAYDENVILLE","29545","WILLIAMSBURG, TOWN OF","Hampshire","8.788331","22760298.0635","25750.3360648","010"
"02072","STOUGHTON","NON UNIQUE","STOUGHTON","67980","STOUGHTON, TOWN OF","Norfolk","16.514182","42768570.6789","31339.7014942","020"
"02421","LEXINGTON","NON UNIQUE","LEXINGTON","35250","LEXINGTON, TOWN OF","Middlesex","9.319469","24136002.4523","30413.2614268","024"
"01254","RICHMOND","NON UNIQUE","RICHMOND","56760","RICHMOND, TOWN OF","Berkshire","14.928764","38662951.1253","32614.4216703","012"
"02347","LAKEVILLE","NON UNIQUE","LAKEVILLE","33885","LAKEVILLE, TOWN OF","Plymouth","36.168667","93673630.6388","48073.4194141","023"
"01039","HAYDENVILLE","NON UNIQUE","HAYDENVILLE","29545","WHATELY, TOWN OF","Franklin","4.754685","12313891.828","16123.9047034","010"
"02718","EAST TAUNTON","NON UNIQUE","EAST TAUNTON","20555","TAUNTON","Bristol","10.216364","26459254.8533","36989.2829185","027"
"01080","THREE RIVERS","NON UNIQUE","THREE RIVERS","69730","PALMER, TOWN OF","Hampden","2.200459","5698755.46516","15895.5905788","010"
"02746","NEW BEDFORD","NON UNIQUE","NEW BEDFORD","45000","NEW BEDFORD","Bristol","1.690581","4378660.17772","14509.0075014","027"
"02467","CHESTNUT HILL","NON UNIQUE","CHESTNUT HILL","13625","BROOKLINE, TOWN OF","Norfolk","2.838585","7351405.11845","13653.0970184","024"
"02130","JAMAICA PLAIN","NON UNIQUE","JAMAICA PLAIN","32520","BOSTON","Suffolk","4.125349","10683880.0129","24505.6542714","021"
"01026","CUMMINGTON","NON UNIQUE","CUMMINGTON","16005","WINDSOR, TOWN OF","Berkshire","2.658606","6885484.18533","16974.7595774","010"
"02666","TRURO","PO BOX","TRURO","70570","TRURO, TOWN OF","Barnstable","7.895667","20448472.4523","44542.5132258","026"
"01220","ADAMS","NON UNIQUE","ADAMS","00590","ADAMS, TOWN OF","Berkshire","22.927869","59381954.9231","31925.4307005","012"
"01504","BLACKSTONE","NON UNIQUE","BLACKSTONE","05980","BLACKSTONE, TOWN OF","Worcester","11.386376","29488707.9934","22390.6121503","015"
"01970","SALEM","NON UNIQUE","SALEM","59105","SALEM","Essex","8.243386","21349374.8885","36122.4800034","019"
"02739","MATTAPOISETT","NON UNIQUE","MATTAPOISETT","39415","MATTAPOISETT, TOWN OF","Plymouth","17.449011","45193376.8337","58256.9323318","027"
"02713","CUTTYHUNK","PO BOX","CUTTYHUNK","16110","GOSNOLD, TOWN OF","Dukes","13.515558","35008383.343","92791.8197961","027"
"01075","SOUTH HADLEY","NON UNIQUE","SOUTH HADLEY","64110","SOUTH HADLEY, TOWN OF","Hampshire","18.590162","48144917.5932","36124.775694","010"
"01235","HINSDALE","NON UNIQUE","HINSDALE","30280","MIDDLEFIELD, TOWN OF","Hampshire","8.078193","20921077.6028","24903.0661983","012"
"01984","WENHAM","NON UNIQUE","WENHAM","74630","WENHAM, TOWN OF","Essex","7.619648","19734344.869","26766.6811033","019"
